id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
26459,"January 19, 2006 13:48",2006-01-19,2006-01-19 18:48:00 UTC,Eastern Time (US & Canada),,1000,muir,2011-07-30 06:14:57 UTC,2016-06-22 19:01:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26459,https://static.inaturalist.org/photos/47515/medium.jpg?1444770778,,"",In eucalyptus grove.,false,1,0,false,,"Santa Cruz Island, Channel Islands, California",33.9967819792,-119.7246265411,,,open,false,,,Allen's Hummingbird,Selasphorus sasin,Allen's Hummingbird,Aves,6359
26460,"January 18, 2006 15:29",2006-01-18,2006-01-18 20:29:00 UTC,Eastern Time (US & Canada),false,1000,muir,2011-07-30 06:14:58 UTC,2016-06-22 19:01:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26460,https://static.inaturalist.org/photos/47517/medium.jpg?1444770782,,"","",false,1,0,false,,"Santa Cruz Island, Channel Islands, California",34.0087003695,-119.7714042664,,,open,false,,,Anna's Hummingbird,Calypte anna,Anna's Hummingbird,Aves,6317
26461,"January 18, 2006 13:22",2006-01-18,2006-01-18 18:22:00 UTC,Eastern Time (US & Canada),true,1000,muir,2011-07-30 06:14:58 UTC,2016-06-22 19:01:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26461,https://static.inaturalist.org/photos/47518/medium.jpg?1444770783,,"",Not confident of ID.,false,1,0,false,,"Santa Cruz Island, Channel Islands, California",34.0087003695,-119.7714042664,,,open,false,,,Bushtit,Psaltriparus minimus,Bushtit,Aves,7266
26462,"January 18, 2006 12:30",2006-01-18,2006-01-18 17:30:00 UTC,Eastern Time (US & Canada),true,1000,muir,2011-07-30 06:14:59 UTC,2019-09-09 05:12:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26462,https://static.inaturalist.org/photos/47520/medium.jpg?1444770787,,"","Introduced invasive pigs, although (success!) these animals no longer occur on the island.  Kiwis were there while I was there, trying to eradicate them.  They were <a href=""http://travel.latimes.com/articles/la-trw-feral-pigs-eradicated-from-santa-cruz-island-30aug07"">successful</a> just six months later.  The last feral pig was destroyed on July 5, 2006, and the native flora is reportedly on the rebound.  Here's a fun sounding article: <a href=""http://www.sciencedirect.com/science/article/pii/S0006320709004935"">Rapid eradication of feral pigs (Sus scrofa) from Santa Cruz Island, California</a>

""In 411 days, a total of 5036 pigs were removed....Sterilized adult pigs fitted with radio collars were subsequently used to aid in the location of surviving wild pigs and to monitor the success of the project. Female telemetered pigs were more effective than males at locating remaining wild pigs. Only 10% of the last 102 pigs (the last 20 or so present in each fenced zone) were dispatched as a result of being found with a telemetered pig, but telemetered animals were responsible for finding 43% of the very last pigs once normal hunting had ceased.""

Fishing with female pig.",false,3,0,false,,"Santa Cruz Island, Channel Islands, California",34.0048582054,-119.7705459595,,,open,false,,,Wild Boar,Sus scrofa,Wild Boar,Mammalia,42134
26463,"January 17, 2006 13:38",2006-01-17,2006-01-17 18:38:00 UTC,Eastern Time (US & Canada),false,1000,muir,2011-07-30 06:14:59 UTC,2017-01-28 05:19:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26463,https://static.inaturalist.org/photos/47522/medium.jpg?1444770791,,"",Location approximate.,false,3,0,false,,"Santa Cruz Island, Channel Islands, California",34.005427,-119.749432,1955,,,false,,,Spotted Towhee,Pipilo maculatus,Spotted Towhee,Aves,9420
26464,"January 19, 2006 13:47",2006-01-19,2006-01-19 18:47:00 UTC,Eastern Time (US & Canada),false,1000,muir,2011-07-30 06:15:00 UTC,2016-06-22 19:01:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26464,https://static.inaturalist.org/photos/47524/medium.jpg?1444770795,,"","In eucalyptus grove.

Not confident of ID.",false,1,0,false,,"Santa Cruz Island, Channel Islands, California",33.9967819792,-119.7246265411,,,open,false,,,Hermit Thrush (Catharus guttatus),Catharus guttatus,Hermit Thrush,Aves,12890
26465,"January 20, 2006 09:37",2006-01-20,2006-01-20 14:37:00 UTC,Eastern Time (US & Canada),,1000,muir,2011-07-30 06:15:00 UTC,2016-06-22 19:01:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26465,https://static.inaturalist.org/photos/47526/medium.jpg?1444770798,,"",Location approximate.,false,1,0,false,,"Santa Cruz Island, Channel Islands, California",33.9909111125,-119.6850585938,1021,,open,false,,,Anna's Hummingbird,Calypte anna,Anna's Hummingbird,Aves,6317
26466,"January 20, 2006 09:32",2006-01-20,2006-01-20 14:32:00 UTC,Eastern Time (US & Canada),,1000,muir,2011-07-30 06:15:00 UTC,2016-06-22 19:01:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26466,https://static.inaturalist.org/photos/47529/medium.jpg?1444770803,,"","Not 100% confident of ID.

Location approximate.",false,2,0,false,,"Santa Cruz Island, Channel Islands, California",33.9914804264,-119.6914100647,,,open,false,,,White-crowned Sparrow,Zonotrichia leucophrys,White-crowned Sparrow,Aves,9176
26468,"January 18, 2006 11:22",2006-01-18,2006-01-18 16:22:00 UTC,Eastern Time (US & Canada),,1000,muir,2011-07-30 06:15:01 UTC,2017-07-14 04:04:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26468,https://static.inaturalist.org/photos/47532/medium.jpg?1444770809,,"",Endemic.,false,1,0,false,,"Channel Islands National Park, Channel Islands, Santa Barbara County, UCNRS, US-CA, US",34.129628683,-119.732119794,,,obscured,true,,,Island Scrub Jay,Aphelocoma insularis,Island Scrub-Jay,Aves,7845
26469,"January 19, 2006 15:55",2006-01-19,2006-01-19 20:55:00 UTC,Eastern Time (US & Canada),,1000,muir,2011-07-30 06:15:01 UTC,2016-06-22 19:01:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26469,https://static.inaturalist.org/photos/47533/medium.jpg?1444770810,,exotic,Introduced.  Also planned to be eradicated from the island.,false,2,0,false,,"Santa Cruz Island, Channel Islands, California",33.9955010974,-119.7110438347,,,open,false,,,Wild Turkey,Meleagris gallopavo,Wild Turkey,Aves,906
26470,"January 17, 2006 12:13",2006-01-17,2006-01-17 17:13:00 UTC,Eastern Time (US & Canada),,1000,muir,2011-07-30 06:48:47 UTC,2016-06-22 19:01:37 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/26470,https://static.inaturalist.org/photos/47534/medium.jpg?1444770812,,"","",false,2,0,false,,"Santa Cruz Island, Channel Islands, California",34.0125423597,-119.7846221924,,,open,false,,,Golden-crowned Sparrow (Zonotrichia atricapilla),Zonotrichia atricapilla,Golden-crowned Sparrow,Aves,9185
37236,2011-10-21,2011-10-21,,Pacific Time (US & Canada),false,549,bob-dodge,2011-10-25 22:00:19 UTC,2017-07-14 04:05:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/37236,https://static.inaturalist.org/photos/62494/medium.JPG?1401754589,,"","Endemic to the Channel Islands. Larger than normal; also with heavier beak, darker blues. Saw many",false,1,0,false,,"Channel Islands National Park, Channel Islands, Santa Barbara County, UCNRS, US-CA, US",34.1615772724,-119.6643677692,,,obscured,true,,,Island Scrub Jay,Aphelocoma insularis,Island Scrub-Jay,Aves,7845
